Name,Population,Latitude,Longitude
Johor,4100900,1.937344,103.366585
Kedah,2187500,6.155672,100.569649
Kelantan,1857600,5.145506,101.654137
Kuala Lumpur,1998600,3.1412,101.6865
Melaka,1027500,2.3463,102.2531
Negeri Sembilan,1224300,2.8797,102.1643
Pahang,1642700,3.5,102.5
Perak,2540400,4.69395,101.117577
Perlis,292700,6.443589,100.216599
Penang,1771600,5.285153,100.456238
Putrajaya,119200,2.9264,101.696
Sabah,3592800,3.9749,100.0724
Sarawak,2509500,1.55,110.33333
Selangor,7205300,3.0738,101.5183
Terengganu,1209400,5.3333,103.1333
