Name,Population,HousingTransaction,Latitude,Longitude
Johor,4100900,40561,1.937344,103.366585
Kedah,2187500,13626,6.155672,100.569649
Kelantan,1857600,5886,5.145506,101.654137
Kuala Lumpur,1998600,13752,3.1412,101.6865
Melaka,1027500,10519,2.3463,102.2531
Negeri Sembilan,1224300,17109,2.8797,102.1643
Pahang,1642700,11420,3.5,102.5
Perak,2540400,27819,4.69395,101.117577
Perlis,292700,1280,6.443589,100.216599
Penang,1771600,18663,5.285153,100.456238
Putrajaya,119200,330,2.9264,101.696
Sabah,3592800,4494,5.9804,116.0735
Sarawak,2509500,12089,1.5533,110.3592
Selangor,7205300,25015,3.0738,101.5183
Terengganu,1209400,7255,5.3333,103.1333
